ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-0205,Forth River Primary School ,Controlled,213.0,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,133,0,80
101-0221,Springfield Primary School ,Controlled,175.0,BT127DJ,54.601149,-5.969327,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,132.2875655532295,153,0,22
101-0255,Elmgrove Primary School ,Controlled,616.0,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,248.19347291981717,324,45,247
101-0282,Carr's Glen Primary School ,Controlled,330.0,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.6590212458495,197,9,124
101-0301,Taughmonagh Primary School ,Controlled,266.0,BT96QL,54.559872,-5.967716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,163.0950643030009,147,22,97
101-0323,Edenbrooke Primary School ,Controlled,372.0,BT133GG,54.609933,-5.953627,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,192.8730152198591,332,0-4,36-40
101-3018,Knocknagoney Primary School ,Controlled,258.0,BT42NR,54.618774,-5.85352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.6237840420901,135,15,108
101-6060,Donegall Road Primary School ,Controlled,210.0,BT126HE,54.589134,-5.95317,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.9137674618944,94-98,0-4,112
101-6205,Fane Street Primary School ,Controlled,324.0,BT97BW,54.585229,-5.951262,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180.0,68,16,240
101-6485,Glenwood Primary School ,Controlled,523.0,BT133GW,54.605844,-5.956231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,228.69193252058545,437,11,75
101-6532,Wheatfield Primary School ,Controlled,171.0,BT147JE,54.61958,-5.963036,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,93,0-4,74-78
101-6604,Harmony Primary School ,Controlled,284.0,BT133SY,54.615422,-5.982998,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.5229954635272,247,0-4,33-37
105-6483,Cliftonville Integrated Primary School ,Controlled Integrated,409.0,BT146JQ,54.617719,-5.946517,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,202.23748416156684,95,158,156
201-0382,Ebrington Primary and Nursery School,Controlled,468.0,BT476LR,55.00355,-7.294566,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.33307652783935,305,31,132
201-1873,Aghadrumsee Primary School ,Controlled,35.0,BT927AU,54.228318,-7.273448,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,59.16079783099616,31-35,0,0-4
201-1881,Florencecourt Primary School ,Controlled,139.0,BT921BZ,54.267656,-7.705226,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.89826122551597,102,6,31
