ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-0205,Forth River Primary School ,Controlled,213.0,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,133,0,80
101-0255,Elmgrove Primary School ,Controlled,616.0,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,248.19347291981717,324,45,247
101-0266,Seaview Primary School ,Controlled,465.0,BT153NB,54.626744,-5.927231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.63858652847824,187,26,252
101-0267,Nettlefield Primary School ,Controlled,410.0,BT68BG,54.592931,-5.906235,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.48456731316588,225,52,133
101-0273,Orangefield Primary School ,Controlled,466.0,BT56BA,54.58303,-5.879935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.870331449229,227,14,225
101-0282,Carr's Glen Primary School ,Controlled,330.0,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.6590212458495,197,9,124
101-0307,Springhill Primary School ,Controlled,189.0,BT133NH,54.605993,-5.978496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.4772708486752,122,0-4,63-67
101-0325,Ligoniel Primary School ,Controlled,198.0,BT148BW,54.62425,-5.978984,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.71247279470288,116,7,75
101-6059,Blackmountain Primary School ,Controlled,188.0,BT133TT,54.600382,-5.978248,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.11309200802089,140,0,48
101-6060,Donegall Road Primary School ,Controlled,210.0,BT126HE,54.589134,-5.95317,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.9137674618944,94-98,0-4,112
101-6242,Dundela Infants School,Controlled,278.0,BT43BL,54.599769,-5.876341,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,166.73332000533065,113,22,143
101-6537,Lowwood Primary School ,Controlled,237.0,BT154BL,54.634469,-5.924499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,116,11,110
105-6483,Cliftonville Integrated Primary School ,Controlled Integrated,409.0,BT146JQ,54.617719,-5.946517,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,202.23748416156684,95,158,156
201-1893,Ballinamallard Primary School ,Controlled,156.0,BT942NY,54.423759,-7.595463,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.89995996796796,103,11,42
201-6645,Bready Jubilee Primary School ,Controlled,123.0,BT820DN,54.922304,-7.424609,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,110.90536506409418,101,0-4,18-22
301-0404,Tildarg Primary School ,Controlled,46.0,BT399JU,54.794311,-6.056293,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,67.82329983125268,37,0,9
