ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-0221,Springfield Primary School ,Controlled,175.0,BT127DJ,54.601149,-5.969327,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,132.2875655532295,153,0,22
201-1789,Moat Primary School ,Controlled,131.0,BT920JH,54.250571,-7.441829,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.45523142259596,110,0-4,17-21
201-1899,Derrygonnelly Primary School ,Controlled,61.0,BT936HY,54.418231,-7.814745,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,78.10249675906654,57-61,0,0-4
201-2641,Killen Primary School ,Controlled,136.0,BT817SD,54.676376,-7.62298,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,116.619037896906,106,0,30
201-6102,Tempo Primary School ,Controlled,81.0,BT943LU,54.377149,-7.461287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.0,52,0-4,25-29
201-6218,Lisbellaw Primary School ,Controlled,211.0,BT945BF,54.313563,-7.541601,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.25839046333948,180,0-4,27-31
301-0780,Kirkinriola Primary School ,Controlled,81.0,BT436TB,54.896659,-6.262434,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.0,50,9,22
301-0818,Moorfields Primary School ,Controlled,197.0,BT423EF,54.828612,-6.154571,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.356688476182,158,0-4,35-39
301-0875,Ballymena Primary School ,Controlled,259.0,BT435BX,54.872475,-6.283945,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.93476939431082,86,16,157
301-2065,Culcrow Primary School ,Controlled,98.0,BT514BT,55.053707,-6.606702,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,98.99494936611666,69,0-4,25-29
301-2234,Ampertaine Primary School ,Controlled,120.0,BT465SB,54.884641,-6.629046,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,109.54451150103324,80,0-4,36-40
301-2291,Maghera Primary School ,Controlled,76.0,BT465BS,54.845057,-6.666739,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,87.17797887081348,39,0,37
301-3322,Camphill Primary School ,Controlled,401.0,BT422DG,54.850952,-6.279737,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200.24984394500788,258,12,131
301-3704,Castledawson Primary School ,Controlled,141.0,BT458AB,54.778099,-6.558798,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.74342087037915,89,0-4,48-52
301-6119,Garvagh Primary School ,Controlled,97.0,BT515HP,54.987462,-6.685564,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,98.48857801796105,80,0-4,13-17
301-6260,Cloughmills Primary School ,Controlled,82.0,BT449LF,54.997223,-6.330208,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.55385138137416,58,0-4,20-24
401-1578,Derryboy Primary School ,Controlled,63.0,BT309LY,54.438527,-5.731501,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,79.37253933193772,53,0,10
401-1619,Dromara Primary School ,Controlled,177.0,BT252BL,54.381024,-6.017972,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,93,13,71
401-1698,Newcastle Primary School ,Controlled,221.0,BT330AS,54.215296,-5.890331,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,148.66068747318505,77,47,97
401-6681,Glasswater Primary School ,Controlled,88.0,BT309EG,54.396368,-5.757559,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083151964686,51,8,29
405-6709,Killyleagh Integrated Primary School ,Controlled Integrated,140.0,BT309SR,54.405781,-5.657495,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,118.32159566199232,65,28,47
501-1019,Mullaglass Primary School ,Controlled,73.0,BT356PZ,54.208004,-6.365751,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,85.44003745317531,65-73,0-4,0-4
501-1127,Carrick Primary School ,Controlled,469.0,BT668NY,54.458024,-6.342232,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.56407827707716,99,192,178
501-1132,Killylea Primary School ,Controlled,93.0,BT604LN,54.347678,-6.774013,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,96.43650760992956,81,0,12
