ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-0012,Belmont Primary School ,BT42AG,Controlled,254,112,13,129,112,13,129,112,13,129,112,13,129,BT42AG,54.598815,-5.867075,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,159.37377450509229,112,13,129
101-0063,Currie Primary School ,BT153AB,Controlled,211,98,9,104,98,9,104,98,9,104,98,9,104,BT153AB,54.615987,-5.930782,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.25839046333948,98,9,104
101-0146,Euston Street Primary School ,BT69AG,Controlled,344,148,37,159,148,37,159,148,37,159,148,37,159,BT69AG,54.588914,-5.898412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,185.47236990991408,148,37,159
101-0157,Rosetta Primary School ,BT60JA,Controlled,300,92,34,174,92,34,174,92,34,174,92,34,174,BT60JA,54.570179,-5.91184,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,173.20508075688775,92,34,174
101-0205,Forth River Primary School ,BT133PQ,Controlled,213,133,0,80,133,0,80,133,0,80,133,0,80,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,133,0,80
101-0221,Springfield Primary School ,BT127DJ,Controlled,175,153,0,22,153,0,22,153,0,22,153,0,22,BT127DJ,54.601149,-5.969327,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,132.2875655532295,153,0,22
101-0252,Strandtown Primary School ,BT43DJ,Controlled,970,480,73,417,480,73,417,480,73,417,480,73,417,BT43DJ,54.597401,-5.875551,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,311.44823004794875,480,73,417
101-0255,Elmgrove Primary School ,BT54RS,Controlled,616,324,45,247,324,45,247,324,45,247,324,45,247,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,248.19347291981714,324,45,247
101-0266,Seaview Primary School ,BT153NB,Controlled,465,187,26,252,187,26,252,187,26,252,187,26,252,BT153NB,54.626744,-5.927231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.63858652847824,187,26,252
101-0267,Nettlefield Primary School ,BT68BG,Controlled,410,225,52,133,225,52,133,225,52,133,225,52,133,BT68BG,54.592931,-5.906235,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.48456731316588,225,52,133
101-0273,Orangefield Primary School ,BT56BA,Controlled,466,227,14,225,227,14,225,227,14,225,227,14,225,BT56BA,54.58303,-5.879935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.8703314,227,14,225
101-0282,Carr's Glen Primary School ,BT146QX,Controlled,330,197,9,124,197,9,124,197,9,124,197,9,124,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.6590212458495,197,9,124
101-0301,Taughmonagh Primary School ,BT96QL,Controlled,266,147,22,97,147,22,97,147,22,97,147,22,97,BT96QL,54.559872,-5.967716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,163.0950643030009,147,22,97
101-0304,Greenwood Primary School & Nursery,BT43HS,Controlled,304,105,15,184,105,15,184,105,15,184,105,15,184,BT43HS,54.59561,-5.861099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,174.35595774162695,105,15,184
101-0307,Springhill Primary School ,BT133NH,Controlled,189,122,*,#,122,0,63,122,2,65,122,4,67,BT133NH,54.605993,-5.978496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.4772708486752,122,0-4,63-67
101-0323,Edenbrooke Primary School ,BT133GG,Controlled,372,332,*,#,332,0,36,332,2,38,332,4,40,BT133GG,54.609933,-5.953627,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,192.8730152198591,332,0-4,36-40
101-0324,Stranmillis Primary School ,BT95EH,Controlled,470,51,152,267,51,152,267,51,152,267,51,152,267,BT95EH,54.567386,-5.937621,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.7948339,51,152,267
101-0325,Ligoniel Primary School ,BT148BW,Controlled,198,116,7,75,116,7,75,116,7,75,116,7,75,BT148BW,54.62425,-5.978984,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.71247279470288,116,7,75
101-0806,Finaghy Primary School ,BT100DR,Controlled,391,190,34,167,190,34,167,190,34,167,190,34,167,BT100DR,54.560269,-5.983898,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,197.7371993328519,190,34,167
101-0831,Cavehill Primary School ,BT155FG,Controlled,400,197,61,142,197,61,142,197,61,142,197,61,142,BT155FG,54.635449,-5.947218,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200,197,61,142
101-3018,Knocknagoney Primary School ,BT42NR,Controlled,258,135,15,108,135,15,108,135,15,108,135,15,108,BT42NR,54.618774,-5.85352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.6237840420901,135,15,108
101-6059,Blackmountain Primary School ,BT133TT,Controlled,188,140,0,48,140,0,48,140,0,48,140,0,48,BT133TT,54.600382,-5.978248,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.11309200802089,140,0,48
