ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display
101-0012,Belmont Primary School ,Controlled,254,BT42AG,54.598815,-5.867075,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,159.37377450509229,112,13,129,Local Church of Ireland<br>Local Presbyterian Church
101-0063,Currie Primary School ,Controlled,211,BT153AB,54.615987,-5.930782,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.25839046333948,98,9,104,Local Church of Ireland<br>Local Presbyterian Church<br>Scripture Union<br>Vineyard
101-0146,Euston Street Primary School ,Controlled,344,BT69AG,54.588914,-5.898412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,185.47236990991408,148,37,159,Baptist Youth<br>Elim Pentecostal<br>Local Presbyterian Church
101-0157,Rosetta Primary School ,Controlled,300,BT60JA,54.570179,-5.91184,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,173.20508075688775,92,34,174,Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church<br>Scripture Union
101-0205,Forth River Primary School ,Controlled,213,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,133,0,80,Child Evangelism Fellowship<br>Crown Jesus Ministries<br>Equipping for Life<br>Local Evangelical Church<br>Scripture Union
101-0221,Springfield Primary School ,Controlled,175,BT127DJ,54.601149,-5.969327,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,132.2875655532295,153,0,22,Child Evangelism Fellowship<br>Hope for Youth Ministries<br>Living Hope<br>Non-Religious
101-0252,Strandtown Primary School ,Controlled,970,BT43DJ,54.597401,-5.875551,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,311.44823004794875,480,73,417,Bible Explorers<br>Christian Fellowship Church (CFC)<br>Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church<br>Love for Life<br>Non-Religious<br>Scripture Union<br>Store House
101-0255,Elmgrove Primary School ,Controlled,616,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,248.19347291981717,324,45,247,Child Evangelism Fellowship<br>Christian Fellowship Church (CFC)<br>Crown Jesus Ministries<br>Elim Pentecostal<br>Local Church of Ireland<br>Local Free Presbyterian Church<br>Local Presbyterian Church<br>Reformed Presbyterian<br>Scripture Union
101-0266,Seaview Primary School ,Controlled,465,BT153NB,54.626744,-5.927231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.63858652847824,187,26,252,Crown Jesus Ministries<br>Local Presbyterian Church<br>Scripture Union<br>Stand By Me
101-0267,Nettlefield Primary School ,Controlled,410,BT68BG,54.592931,-5.906235,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.48456731316588,225,52,133,Bible Educational Services<br>Crown Jesus Ministries<br>Local Church of Ireland<br>Local Free Presbyterian Church<br>Scripture Union<br>Stand By Me
101-0273,Orangefield Primary School ,Controlled,466,BT56BA,54.58303,-5.879935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.8703314,227,14,225,Crown Jesus Ministries<br>Local Church of Ireland<br>Local Presbyterian Church<br>Non-Religious<br>Scripture Union<br>Stand By Me
101-0282,Carr's Glen Primary School ,Controlled,330,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.6590212458495,197,9,124,Child Evangelism Fellowship<br>Crown Jesus Ministries<br>Living Hope<br>Local Baptist Church<br>Local Methodist Church<br>Local Presbyterian Church<br>Scripture Union
101-0301,Taughmonagh Primary School ,Controlled,266,BT96QL,54.559872,-5.967716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,163.0950643030009,147,22,97,Child Evangelism Fellowship<br>Local Church of Ireland<br>Local Evangelical Church<br>Local Presbyterian Church
101-0304,Greenwood Primary School & Nursery,Controlled,304,BT43HS,54.59561,-5.861099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,174.35595774162695,105,15,184,Local Church of Ireland<br>Scripture Union<br>Store House
101-0307,Springhill Primary School ,Controlled,189,BT133NH,54.605993,-5.978496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.4772708486752,122,0-4,63-67,Crown Jesus Ministries<br>Living Hope<br>Local Methodist Church<br>Non-Religious<br>Presbyterian or Baptist<br>Scripture Union
101-0323,Edenbrooke Primary School ,Controlled,372,BT133GG,54.609933,-5.953627,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,192.8730152198591,332,0-4,36-40,Bible Educational Services<br>Child Evangelism Fellowship<br>Elim Pentecostal<br>Local Church of Ireland<br>Local Evangelical Church<br>Local Presbyterian Church<br>Missions<br>Non-Religious<br>Scripture Union<br>Unclassified
101-0324,Stranmillis Primary School ,Controlled,470,BT95EH,54.567386,-5.937621,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.7948339,51,152,267,Evangelical Presbyterian<br>Local Church of Ireland<br>Local Presbyterian Church
101-0325,Ligoniel Primary School ,Controlled,198,BT148BW,54.62425,-5.978984,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.71247279470288,116,7,75,Bible Educational Services<br>Crown Jesus Ministries<br>Local Presbyterian Church<br>Missions<br>Non-Religious<br>Scripture Union
101-0806,Finaghy Primary School ,Controlled,391,BT100DR,54.560269,-5.983898,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,197.7371993328519,190,34,167,Living Hope<br>Local Evangelical Church<br>Local Presbyterian Church<br>Non-Religious<br>Other Christian Charities
101-0831,Cavehill Primary School ,Controlled,400,BT155FG,54.635449,-5.947218,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200,197,61,142,Local Methodist Church<br>Local Presbyterian Church<br>Missions<br>Scripture Union<br>Vineyard
101-3018,Knocknagoney Primary School ,Controlled,258,BT42NR,54.618774,-5.85352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.6237840420901,135,15,108,Child Evangelism Fellowship<br>Evangelical Presbyterian<br>Local Christian Community Groups<br>Local Church of Ireland<br>Local Presbyterian Church<br>Made for More<br>Scripture Union
101-6059,Blackmountain Primary School ,Controlled,188,BT133TT,54.600382,-5.978248,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.11309200802089,140,0,48,Bible Educational Services<br>Christian Fellowship Church (CFC)<br>Crown Jesus Ministries<br>Local Presbyterian Church<br>Missions
101-6060,Donegall Road Primary School ,Controlled,210,BT126HE,54.589134,-5.95317,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.9137674618944,94-98,0-4,112,Bible Educational Services<br>Child Evangelism Fellowship<br>Crown Jesus Ministries<br>Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church
101-6076,Ballysillan Primary School ,Controlled,236,BT148LT,54.630789,-5.969197,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.62291495737216,170,0-4,62-66,Bible Educational Services<br>Equipping for Life<br>Living Hope<br>Youth For Christ
101-6205,Fane Street Primary School ,Controlled,324,BT97BW,54.585229,-5.951262,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180,68,16,240,Baptist Youth<br>Child Evangelism Fellowship<br>Evangelical Presbyterian<br>Local Baptist Church<br>Local Church of Ireland<br>Made for More<br>Scripture Union<br>Stand By Me
101-6207,Blythefield Primary School ,Controlled,197,BT125HX,54.590606,-5.940935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.3566885,160,0-4,33-37,Explore Ministries<br>Local Church of Ireland<br>Local Presbyterian Church
101-6242,Dundela Infants School,Controlled,278,BT43BL,54.599769,-5.876341,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,166.73332000533065,113,22,143,Christian Fellowship Church (CFC)<br>Crown Jesus Ministries<br>Inclusive (Other Religions)<br>Local Church of Ireland<br>Non-Religious<br>Unclassified
101-6485,Glenwood Primary School ,Controlled,523,BT133GW,54.605844,-5.956231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,228.69193252058545,437,11,75,Child Evangelism Fellowship<br>Living Hope<br>Local Brethren / Gospel Hall<br>Local Church of Ireland<br>Local Evangelical Church<br>Local Free Presbyterian Church<br>Local Methodist Church<br>Local Presbyterian Church<br>Missions
101-6498,Malvern Primary School ,Controlled,157,BT131HW,54.606006,-5.944089,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,125.29964086141668,66-70,0-4,87,Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church
101-6499,Botanic Primary School ,Controlled,224,BT71QY,54.582133,-5.929312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,149.66629547095766,53,18,153,Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church
101-6532,Wheatfield Primary School ,Controlled,171,BT147JE,54.61958,-5.963036,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,93,0-4,74-78,Child Evangelism Fellowship<br>Church Army<br>Equipping for Life<br>Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church<br>Scripture Union<br>Youth For Christ
101-6537,Lowwood Primary School ,Controlled,237,BT154BL,54.634469,-5.924499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,116,11,110,Crown Jesus Ministries<br>Elim Pentecostal<br>Local Presbyterian Church<br>Non-Religious<br>Scripture Union<br>Stand By Me
101-6604,Harmony Primary School ,Controlled,284,BT133SY,54.615422,-5.982998,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.5229954635272,247,0-4,33-37,Child Evangelism Fellowship<br>Local Methodist Church<br>Presbyterian or Baptist
101-6655,Victoria Park Primary School,Controlled,383,BT41LX,54.604443,-5.882118,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,195.7038579078093,229,16,138,Free Methodist<br>Local Methodist Church<br>Reformed Presbyterian
103-0194,Holy Cross Boys' Primary School ,Roman Catholic Maintained,401,BT147EX,54.613824,-5.95902,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,200.24984394500788,0,397-401,0-4,Local Catholic Church
103-0313,Our Lady of Lourdes Primary School ,Roman Catholic Maintained,618,BT155GQ,54.645265,-5.936343,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,248.59605789312104,0-4,583,31-35,Local Catholic Church
103-0326,Our Lady's Girls' Primary School ,Roman Catholic Maintained,215,BT146NN,54.622333,-5.954723,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,146.6287829861518,0,202,13,Local Catholic Church
103-0331,Holy Cross Girls' Primary School ,Roman Catholic Maintained,195,BT147HZ,54.619665,-5.968111,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,139.64240043768942,0-4,187,04-Aug,Local Catholic Church
