ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display,estimated_non_christians,estimated_non_christian_pct,estimated_non_christian_string,radius_freq,estimated_total_visits,no_withdrawn,pct_other,url
101-0012,Belmont Primary School,Controlled,254.0,BT42AG,54.598815,-5.867075,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,193,60,128,159.37377450509229,112,13,129 (50.8%),"Belmont Presbyterian: <1/month<br>St Columbas, Belfast: <1/month",107,0.421259842519685,107 (42.1%),173.5940223102732,7.0,5 or fewer,50.8%,https://www.whatdotheyknow.com/r/92d71437-0579-4700-b838-97e3e9f748f0
101-0063,Currie Primary School,Controlled,211.0,BT153AB,54.615987,-5.930782,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,207,75,116,145.25839046333948,98,9,104 (49.3%),Alexandra Presbyterian: <1/month<br>Scripture Union: <1/month<br>Vineyard: <1/month<br>Willowfield Church: <1/month,87,0.4123222748815165,87 (41.2%),173.94723825615048,13.0,5 or fewer,49.3%,https://www.whatdotheyknow.com/r/7de4d639-110e-472f-bab2-b58db28707e5
101-0146,Euston Street Primary School,Controlled,344.0,BT69AG,54.588914,-5.898412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,212,82,110,185.47236990991408,148,37,159 (46.2%),Baptist Youth: <1/month<br>Mcquiston Memorial Church: <1/month<br>Ulster Temple Belfast: <1/month,126,0.3662790697674418,126 (36.6%),195.05527329729048,8.0,18,46.2%,https://www.whatdotheyknow.com/r/e09c664a-b7bd-41f4-a942-f680f5967858
101-0157,Rosetta Primary School,Controlled,300.0,BT60JA,54.570179,-5.91184,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,220,93,102,173.20508075688775,92,34,174 (58.0%),"Ballynafeigh Methodist Church, Belfast: <1/month<br>Scripture Union: <1/month<br>St John's Newtownbreda Presbyterian Church, Belfast: <1/month<br>St Jude's Church of Ireland, Belfast: <1/month",152,0.5066666666666667,152 (50.7%),200.84407505115692,13.0,17,58.0%,https://www.whatdotheyknow.com/r/bc9cd829-959f-46aa-b9de-c9cd1f107dca
101-0205,Forth River Primary School,Controlled,213.0,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,206,74,117,145.94519519326423,133,0,80 (37.6%),Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Equipping for Life: <1/month<br>Scripture Union: <1/month<br>The Welcome Evangelical Church: <1/month,65,0.3051643192488263,64-67 (30.5%),170.25388028567772,14.0,Zero,37.6%,https://www.whatdotheyknow.com/r/cccebb79-9e83-44bd-8a65-d942faaa8a5c
101-0221,Springfield Primary School,Controlled,175.0,BT127DJ,54.601149,-5.969327,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,157,24,157,132.2875655532295,153,0,22 (12.6%),Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>Living Hope: <1/month,14,0.08,13-16 (8.0%),128.55484691906162,11.0,Zero,12.6%,https://www.whatdotheyknow.com/r/39d086d5-ebff-4e9d-8a5f-613a078f5ef0
101-0252,Strandtown Primary School,Controlled,970.0,BT43DJ,54.597401,-5.875551,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,249,154,60,311.44823004794875,480,73,417 (43.0%),Belmont Presbyterian: once<br>Bible Explorers: 4 or 5 visits<br>Bloomfield Presbyterian: once<br>Christian Fellowship Church (CFC): once<br>Kirkpatrick Presbyterian: once<br>Knock Methodist: once<br>Knock Presbyterian: once<br>Love for Life: once<br>Scripture Union: once<br>St. Marks Church of Ireland: once<br>Store House: once,319,0.3288659793814433,319 (32.9%),284.8411269791436,15.0,14,43.0%,https://www.whatdotheyknow.com/r/f03ee8d9-ae1a-4fd1-addf-7e6f87087911
101-0255,Elmgrove Primary School,Controlled,616.0,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,248,33,248.1934729198172,324,45,247 (40.1%),Beersbridge Elim: 1-3/month<br>Bloomfield Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Compassion Belfast Charity (UT Elim Church): 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Martyrs’ Memorial Free Presbyterian: 1-3/month<br>Reformed Presbyterian: 1-3/month<br>Scripture Union: 1-3/month<br>St Donard's Church of Ireland: 1-3/month<br>Willowfield Church: 1-3/month,216,0.3506493506493506,216 (35.1%),346.7667981269571,116.0,5 or fewer,40.1%,https://www.whatdotheyknow.com/r/65fd4099-d67e-4c17-9661-9f238d2fb38e
101-0266,Seaview Primary School,Controlled,465.0,BT153NB,54.626744,-5.927231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,236,119,84,215.63858652847824,187,26,252 (54.2%),Alexandra Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>Seaview Presbyterian Church: <1/month<br>Stand By Me: <1/month,175,0.3763440860215054,175 (37.6%),234.85209597006468,15.0,5 or fewer,54.2%,https://www.whatdotheyknow.com/r/e6eb513d-b039-4916-9a98-b547eb36ef2c
101-0267,Nettlefield Primary School,Controlled,410.0,BT68BG,54.592931,-5.906235,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,252,203,37,202.48456731316588,225,52,133 (32.4%),Bible Educational Services: <1/month<br>Crown Jesus Ministries: <1/month<br>Martyr's Memorial Free Presbyterian: 1-3/month<br>Scripture Union: weekly<br>Stand By Me: <1/month<br>Willowfield Church: <1/month,108,0.2634146341463415,108 (26.3%),250.1962760811363,53.0,25,32.4%,https://www.whatdotheyknow.com/r/e09c664a-b7bd-41f4-a942-f680f5967858
101-0273,Orangefield Primary School,Controlled,466.0,BT56BA,54.58303,-5.879935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,232,112,89,215.870331449229,227,14,225 (48.3%),Crown Jesus Ministries: <1/month<br>Orangefield Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>St Johns Orangefield C.O.I.: <1/month<br>Stand By Me: <1/month,182,0.3905579399141631,182 (39.1%),225.06188243756225,15.0,5 or fewer,48.3%,https://www.whatdotheyknow.com/r/4ebe1fe3-3af0-4e12-9809-bee79efdfb58
101-0282,Carr's Glen Primary School,Controlled,330.0,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,236,120,83,181.6590212458495,197,9,124 (37.6%),Antrim Road Baptist: <1/month<br>Ballysillan Presbyterian: <1/month<br>Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Eglinton Presbyterian: <1/month<br>Grace and Hope Presbyterian: <1/month<br>Joanmount Methodist: <1/month<br>Living Hope: <1/month<br>Scripture Union: <1/month<br>West Kirk Presbyterian: <1/month<br>Woodvale Methodist: <1/month,112,0.3393939393939394,112 (33.9%),205.4409576537016,35.0,5 or fewer,37.6%,https://www.whatdotheyknow.com/r/f2a027e9-dde9-45f3-be96-6c0b9c4e13c1
101-0301,Taughmonagh Primary School,Controlled,266.0,BT96QL,54.559872,-5.967716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,201,69,121,163.0950643030009,147,22,97 (36.5%),Bethany Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Drumbeg Parish Church: <1/month<br>Taughmonagh Church: <1/month,90,0.3383458646616541,90 (33.8%),170.61542514495977,13.0,5 or fewer,36.5%,https://www.whatdotheyknow.com/r/2d469784-7fc2-4aaf-bd84-d4fce3bef8d0
101-0304,Greenwood Primary School & Nursery,Controlled,304.0,BT43HS,54.59561,-5.861099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,204,72,118,174.35595774162695,105,15,184 (60.5%),"Scripture Union: once<br>St Columba's Church of Ireland, Belfast: once<br>Store House: once",135,0.4440789473684211,134-137 (44.4%),195.84329953302304,3.0,Zero,60.5%,https://www.whatdotheyknow.com/r/51b151a5-9dbf-4f2b-a099-dab1cab51e3f
101-0307,Springhill Primary School,Controlled,189.0,BT133NH,54.605993,-5.978496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,194,61,128,137.4772708486752,122,0-4,63-67 (34.4%),Crown Jesus Ministries: once<br>Living Hope: termly<br>Presbyterian or Baptist: termly<br>Scripture Union: 10 visits<br>Woodvale/Shankill Methodist: twice,29,0.1534391534391534,25-34 (15.3%),166.82105101189654,19.0,5 or fewer,34.4%,https://www.whatdotheyknow.com/r/1f4fcb32-4ec3-48ad-bd54-f3d175a1ff9f
101-0323,Edenbrooke Primary School,Controlled,372.0,BT133GG,54.609933,-5.953627,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,158,25,156,192.8730152198591,332,0-4,36-40 (10.2%),Bible Educational Services: once<br>Child Evangelism Fellowship: once<br>Immanuel Presbyterian: once<br>Mayo St City Mission: once<br>Scripture Union: once<br>St Matthews: once<br>Welcome Church: twice<br>West Kirk Presbyterian: once<br>Whitewell Church: once,29,0.0779569892473118,25-34 (7.8%),131.1137972781163,10.0,8,10.2%,https://www.whatdotheyknow.com/r/39d086d5-ebff-4e9d-8a5f-613a078f5ef0
101-0324,Stranmillis Primary School,Controlled,470.0,BT95EH,54.567386,-5.937621,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,236,120,83,216.794833886788,51,152,267 (56.8%),"All Saints Parish Church: <1/month<br>Evangelical Presbyterian: <1/month<br>Fitzwilliam Presbyterian Church, Malone: <1/month<br>St Bartholomew's, Stranmillis: <1/month",206,0.4382978723404255,206 (43.8%),237.7570186069133,13.0,10,56.8%,https://www.whatdotheyknow.com/r/8773c0f6-3eaf-4106-95f3-2d87d9d1481c
