,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
101-0012,128.0,10.0,"Belmont Presbyterian: <1/month<br>St Columbas, Belfast: <1/month",7.0,60.0,54.598815,-5.867075,"Belmont Primary School, Belfast",124.0,5 or fewer,129-133 (56-58%),165.0,32.0,6.5,165 (71%),56.0,173.5940223102732,193.0,231.0,2.5,7.0
101-0063,116.0,14.0,Alexandra Presbyterian: <1/month<br>Scripture Union: <1/month<br>Vineyard: <1/month<br>Willowfield Church: <1/month,13.0,75.0,54.615987,-5.930782,"Currie Primary School, Belfast",33.0,5 or fewer,42-62 (24-35%),81.0,19.0,9.0,81 (46%),81.0,173.94723825615048,207.0,176.0,20.0,13.0
101-0146,110.0,28.5,Baptist Youth: <1/month<br>Mcquiston Memorial Church: <1/month<br>Ulster Temple Belfast: <1/month,8.0,82.0,54.588914,-5.898412,"Euston Street Primary School, Belfast",100.0,18,149-153 (42-43%),195.0,45.0,49.0,195 (55%),132.0,195.05527329729048,212.0,357.0,2.5,8.0
101-0157,102.0,37.0,"Ballynafeigh Methodist Church, Belfast: <1/month<br>Scripture Union: <1/month<br>St John's Newtownbreda Presbyterian Church, Belfast: <1/month<br>St Jude's Church of Ireland, Belfast: <1/month",13.0,93.0,54.570179,-5.91184,Rosetta Primary School,122.0,17,161-171 (50-54%),198.0,27.0,39.0,198 (62%),84.0,200.8440750511569,220.0,319.0,10.0,13.0
101-0205,117.0,2.5,Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Equipping for Life: <1/month<br>Scripture Union: <1/month<br>The Welcome Evangelical Church: <1/month,14.0,74.0,54.61246,-5.969755,"Forth River Primary School, Belfast",26.0,Zero,27-75 (13-37%),82.5,9.0,2.5,81-84 (40-41%),120.0,170.25388028567772,206.0,205.0,45.0,14.0
101-0221,157.0,2.5,Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>Living Hope: <1/month,11.0,24.0,54.601149,-5.969327,"Springfield Primary School, Belfast",14.0,Zero,15-18 (9-10%),24.5,8.0,2.5,23-26 (13-15%),145.0,128.55484691906162,157.0,172.0,0.0,11.0
101-0252,60.0,82.0,Belmont Presbyterian: once<br>Bible Explorers: 4 or 5 visits<br>Bloomfield Presbyterian: once<br>Christian Fellowship Church (CFC): once<br>Kirkpatrick Presbyterian: once<br>Knock Methodist: once<br>Knock Presbyterian: once<br>Love for Life: once<br>Scripture Union: once<br>St. Marks Church of Ireland: once<br>Store House: once,15.0,154.0,54.597401,-5.875551,"Strandtown Primary School, Belfast",277.0,14,304-343 (31-35%),444.0,101.0,27.0,444 (46%),449.0,284.8411269791436,249.0,975.0,39.0,15.0
101-0255,33.0,36.0,Beersbridge Elim: 1-3/month<br>Bloomfield Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Compassion Belfast Charity (UT Elim Church): 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Martyrs’ Memorial Free Presbyterian: 1-3/month<br>Reformed Presbyterian: 1-3/month<br>Scripture Union: 1-3/month<br>St Donard's Church of Ireland: 1-3/month<br>Willowfield Church: 1-3/month,116.0,248.0,54.591444,-5.893547,"Elmgrove Primary School, Belfast",164.0,5 or fewer,205-215 (35-36%),263.0,48.0,41.0,263 (45%),291.0,346.7667981269571,239.0,590.0,10.0,116.0
101-0266,84.0,23.0,Alexandra Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>Seaview Presbyterian Church: <1/month<br>Stand By Me: <1/month,15.0,119.0,54.626744,-5.927231,"Seaview Primary School, Belfast",104.0,5 or fewer,145-151 (32-34%),242.0,91.0,41.0,242 (54%),184.0,234.85209597006468,236.0,449.0,6.0,15.0
101-0267,37.0,52.0,Bible Educational Services: <1/month<br>Crown Jesus Ministries: <1/month<br>Martyr's Memorial Free Presbyterian: 1-3/month<br>Scripture Union: weekly<br>Stand By Me: <1/month<br>Willowfield Church: <1/month,53.0,203.0,54.592931,-5.906235,"Nettlefield Primary School, Belfast",33.0,25,111-121 (26-29%),151.0,30.0,78.0,151 (36%),221.0,250.1962760811363,252.0,424.0,10.0,53.0
101-0273,89.0,15.0,Crown Jesus Ministries: <1/month<br>Orangefield Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>St Johns Orangefield C.O.I.: <1/month<br>Stand By Me: <1/month,15.0,112.0,54.58303,-5.879935,"Orangefield Primary School, Belfast",157.0,5 or fewer,176-196 (39-43%),239.0,43.0,19.0,239 (53%),200.0,225.06188243756225,232.0,454.0,20.0,15.0
101-0282,83.0,7.0,Antrim Road Baptist: <1/month<br>Ballysillan Presbyterian: <1/month<br>Child Evangelism Fellowship: <1/month<br>Crown Jesus Ministries: <1/month<br>Eglinton Presbyterian: <1/month<br>Grace and Hope Presbyterian: <1/month<br>Joanmount Methodist: <1/month<br>Living Hope: <1/month<br>Scripture Union: <1/month<br>West Kirk Presbyterian: <1/month<br>Woodvale Methodist: <1/month,35.0,120.0,54.62434,-5.961854,"Carr's Glen Primary School, Belfast",115.0,5 or fewer,136-140 (41-43%),154.0,14.0,22.5,154 (47%),167.0,205.4409576537016,236.0,328.0,2.5,35.0
101-0301,121.0,21.0,Bethany Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Drumbeg Parish Church: <1/month<br>Taughmonagh Church: <1/month,13.0,69.0,54.559872,-5.967716,"Taughmonagh Primary School, Belfast",86.0,5 or fewer,103-108 (39-41%),120.0,12.0,17.0,120 (45%),125.0,170.61542514495977,201.0,266.0,5.0,13.0
101-0304,118.0,11.5,"Scripture Union: once<br>St Columba's Church of Ireland, Belfast: once<br>Store House: once",3.0,72.0,54.59561,-5.861099,"Greenwood Primary School, Belfast",74.0,Zero,75-155 (25-52%),186.0,34.0,2.5,186 (63%),97.0,195.84329953302304,204.0,296.0,77.0,3.0
101-0307,128.0,2.5,Crown Jesus Ministries: once<br>Living Hope: termly<br>Presbyterian or Baptist: termly<br>Scripture Union: 10 visits<br>Woodvale/Shankill Methodist: twice,19.0,61.0,54.605993,-5.978496,"Springhill Primary School, Belfast",26.5,5 or fewer,26-33 (13-17%),89.5,58.0,2.5,88-91 (45-47%),103.0,166.82105101189654,194.0,195.0,2.5,19.0
101-0323,156.0,2.5,Bible Educational Services: once<br>Child Evangelism Fellowship: once<br>Immanuel Presbyterian: once<br>Mayo St City Mission: once<br>Scripture Union: once<br>St Matthews: once<br>Welcome Church: twice<br>West Kirk Presbyterian: once<br>Whitewell Church: once,10.0,25.0,54.609933,-5.953627,"Edenbrooke Primary School, Belfast",24.0,8,36-39 (9-10%),53.5,16.0,13.5,52-55 (13.6-14.4%),326.0,131.1137972781163,158.0,382.0,0.0,10.0
101-0324,83.0,135.0,"All Saints Parish Church: <1/month<br>Evangelical Presbyterian: <1/month<br>Fitzwilliam Presbyterian Church, Malone: <1/month<br>St Bartholomew's, Stranmillis: <1/month",13.0,120.0,54.567386,-5.937621,"Stranmillis Primary School, Belfast",197.0,10,218-229 (47-49%),284.0,55.0,21.0,284 (61%),48.0,237.7570186069133,236.0,467.0,11.0,13.0
101-0325,127.0,13.0,Ballysillan Presbyterian Church: <1/month<br>Belfast City Mission: <1/month<br>Bible Educational Services: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>West Kirk Presbyterian Church: <1/month,16.0,62.0,54.62425,-5.978984,"Ligoniel Primary School, Belfast",42.0,5 or fewer,51-61 (26-31%),79.0,18.0,9.0,79 (40%),107.0,162.05294855976746,195.0,199.0,10.0,16.0
101-0806,105.0,34.0,"Bethany Church, Finaghy: termly<br>Living Hope: termly<br>Malone Presbyterian: twice per term<br>Other Christian Charities: twice",14.0,89.0,54.560269,-5.983898,"Finaghy Primary School, Belfast",79.0,35,145-161 (39-43%),196.0,35.0,66.0,196 (52%),146.0,200.5520448426228,217.0,376.0,16.0,14.0
101-0831,109.0,54.0,"Belfast City Mission: <1/month<br>Belfast Vineyard Church: <1/month<br>Joanmount Methodist Church, Belfast: <1/month<br>Rosemary Presbyterian, Belfast: <1/month<br>Scripture Union: <1/month",15.0,83.0,54.635449,-5.947218,"Cavehill Primary School, Belfast",100.0,9,110-138 (27-34%),157.0,19.0,10.0,157 (39%),191.0,192.17079700603605,213.0,402.0,28.0,15.0
101-3018,95.0,12.0,"Child Evangelism Fellowship: <1/month<br>Evangelical Presbyterian: <1/month<br>Garnerville Presbyterian Church: <1/month<br>High Street Presbyterian, Holywood: <1/month<br>Holywood Youth Centre: <1/month<br>Knocknagoney Church of Ireland: <1/month<br>Made for More: <1/month<br>Scripture Union: <1/month",25.0,103.0,54.618774,-5.85352,"Knocknagoney Primary School, Belfast",53.0,5 or fewer,60-76 (28-35%),93.0,17.0,7.0,93 (43%),110.0,191.92974009569963,227.0,215.0,16.0,25.0
101-6059,96.0,2.5,Ballygomartin Presbyterian Church: 1-3/month<br>Bible Educational Services: 1-3/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Shankill Mission Hall: 1-3/month,53.0,102.0,54.600382,-5.978248,"Black Mountain Primary School, Belfast",2.5,5 or fewer,10-27 (6-15%),41.5,16.0,9.0,40-43 (23-25%),131.0,202.5188188492573,226.0,175.0,14.0,53.0
101-6060,104.0,2.5,Bible Educational Services: twice<br>Child Evangelism Fellowship: twice<br>Crown Jesus Ministries: twice<br>Donegall Road Methodist Church: twice<br>Richview Presbyterian: twice<br>St Simon's Church of Ireland: twice,14.0,90.0,54.589134,-5.95317,"Donegall Road Primary School, Belfast",65.0,8,91-94 (46-47%),119.0,28.0,27.5,119 (60%),77.0,180.83766107971843,218.0,200.0,0.0,14.0
101-6076,33.0,0.0,Bible Educational Services: once<br>Equipping for Life: weekly<br>Living Hope: weekly<br>Youth For Christ: twice a week,145.0,248.0,54.630789,-5.969197,Ballysillan Primary School,22.0,Zero,23-75 (10-34%),79.0,5.5,2.5,79 (36%),141.0,298.05969484426413,239.0,220.0,49.0,145.0
101-6205,36.0,16.5,All Saints Church of Ireland: <1/month<br>Baptist Youth: <1/month<br>Child Evangelism Fellowship: <1/month<br>Evangelical Presbyterian: 1-3/month<br>Made for More: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month<br>Windsor Baptist Church: <1/month,30.0,219.0,54.585229,-5.951262,"Fane Street Primary School, Belfast",34.0,95,162-166 (55-56%),215.0,51.0,128.0,215 (73%),64.0,251.8414327055691,249.0,296.0,2.5,30.0
101-6207,160.0,2.5,Explore Ministries: <1/month<br>Great Victoria St Presbyterian: <1/month<br>St Aidans C.O.I.: <1/month,10.0,18.0,54.590606,-5.940935,"Blythefield Primary School, Belfast",18.0,Zero,35 (19%),41.5,6.5,17.0,40-43 (21-23%),145.0,121.27455777014646,150.0,189.0,0.0,10.0
101-6242,117.0,15.0,"Christian Fellowship Church (CFC): <1/month<br>Cre8 Theatre- Sunni Explores: Respecting Difference- Virtual Assembly: <1/month<br>Crown Jesus Ministries: <1/month<br>St Mark's Church, Belfast: <1/month",8.0,73.0,54.599769,-5.876341,"Dundela Infants Primary School, Belfast",108.0,5 or fewer,119-124 (44-46%),158.0,34.0,11.0,158 (59%),97.0,184.40207252495023,205.0,270.0,5.0,8.0
101-6485,120.0,12.0,Belfast Central Mission: <1/month<br>Child Evangelism Fellowship: <1/month<br>John Knox Free Presbyterian: <1/month<br>Living Hope: <1/month<br>Shankill Community Fellowship: <1/month<br>Shankill Gospel Hall: <1/month<br>St Matthew's (Belfast): <1/month<br>Welcome Church (Belfast): <1/month<br>Woodvale Methodist: <1/month<br>Woodvale Presbyterian: <1/month,31.0,70.0,54.605844,-5.956231,"Glenwood Primary School, Belfast",17.0,Zero,31-36 (6-7%),84.0,48.0,14.0,84 (17%),386.0,186.0553733047476,202.0,482.0,5.0,31.0
101-6498,110.0,2.5,"Shankill Methodist Church, Belfast: 1-3/month<br>St Michael's C.O.I., Belfast: 1-3/month<br>Townsend St Presbyterian, Belfast: 1-3/month",33.0,82.0,54.606006,-5.944089,"Malvern Primary School, Belfast",7.0,6,20-29 (14-21%),70.0,41.0,14.5,70 (50%),68.0,172.55224606137517,212.0,139.0,6.0,33.0
101-6499,58.0,14.0,All Saints Church: <1/month<br>Fitzroy Presbyterian Church: weekly<br>Mary Magdalene: <1/month<br>South Belfast Methodist: <1/month,43.0,159.0,54.582133,-5.929312,"Botanic Primary School, Belfast",31.0,46,103-115 (50-56%),134.0,19.0,72.0,134 (65%),58.0,213.89388244310905,250.0,206.0,12.0,43.0
101-6532,73.0,10.0,Ballysillan Presbyterian Church: 4 or 5 visits<br>Child Evangelism Fellowship: 4 or 5 visits<br>Church Army: 4 or 5 visits<br>Church of Ireland: 4 or 5 visits<br>Equipping for Life: 4 or 5 visits<br>Scripture Union: 4 or 5 visits<br>Shankill Methodist: 4 or 5 visits<br>Youth For Christ: 4 or 5 visits,40.0,134.0,54.61958,-5.963036,"Wheatfield Primary School, Belfast",17.0,7,42-87 (21-43%),106.0,19.0,25.0,106 (52%),88.0,195.84329953302304,243.0,204.0,45.0,40.0
101-6537,108.0,14.0,Belfast Metropolitan Tabernacle: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month<br>Whitehouse Presbyterian Church: <1/month,15.0,86.0,54.634469,-5.924499,"Lowwood Primary School, Belfast",73.0,6,84 (34%),105.0,21.0,11.0,105 (43%),127.0,181.8984462727824,215.0,246.0,0.0,15.0
101-6604,160.0,0.0,Child Evangelism Fellowship: <1/month<br>Presbyterian or Baptist: <1/month<br>Woodvale Methodist: <1/month,9.0,19.0,54.615422,-5.982998,"Harmony Primary School, Belfast",27.0,Zero,32 (12%),47.0,15.0,5.0,47 (18%),217.0,124.76189212097395,151.0,264.0,0.0,9.0
101-6647,120.0,41.5,DID NOT RESPOND TO SURVEY,,120.0,54.606314,-5.929988,"Bunscoil Mhic Reachtain, Belfast",2.5,,1-4 (2-9%),2.5,0.0,0.0,1-4 (2-9%),0.0,200.0,120.0,44.0,0.0,https://parentsforinclusiveeducationni.org/
101-6655,124.0,7.0,Free Methodist: termly<br>Reformed Presbyterian: termly<br>Sydenham Methodist Church: termly,9.0,65.0,54.604443,-5.882118,Victoria Park Primary School,71.0,5 or fewer,86-102 (23-28%),152.0,50.0,15.0,152 (41%),209.0,181.3142425550219,198.0,368.0,16.0,9.0
103-0194,168.0,391.5,"Holy Cross Church, Belfast: 1-3/month",11.0,0.0,54.613824,-5.95902,"Holy Cross Boys' Primary School, Belfast",2.5,Zero,2-8 (1-2%),2.5,0.0,2.5,1-4 (0-1%),2.5,89.27562736909665,115.0,399.0,0.0,11.0
103-0313,167.0,576.0,"St Gerard's, Antrim Road, Belfast: <1/month",2.0,4.0,54.645265,-5.936343,"Our Lady of Lourdes Primary School, Belfast",24.0,5 or fewer,28-35 (5-6%),38.5,5.0,6.0,37-40 (6.0-6.5%),3.0,103.93691004272944,129.0,617.0,3.0,2.0
103-0327,115.0,179.0,No External Visitors,0.0,77.0,54.575726,-5.924069,"Holy Rosary Primary School, Belfast",58.0,268,200 (46%),234.0,34.0,142.0,234 (54%),24.0,209.1982142768169,208.0,437.0,0.0,0.0
103-0331,158.0,168.0,"Holy Cross Church, Belfast: weekly",32.0,23.0,54.619665,-5.968111,"Holy Cross Girls' Primary School, Belfast",2.0,Zero,-2-8 (-1-4%),7.5,2.0,2.0,6-9 (3-5%),2.0,130.82856738048002,155.0,178.0,2.0,32.0
103-0868,153.0,782.0,Diocesan / Catechetical advisors: <1/month<br>Other Christian Charities: <1/month<br>St Anne's Parish Church: <1/month,7.0,29.0,54.553711,-5.99478,"St Anne's Primary School, Belfast",30.0,5 or fewer,64-68 (7-8%),92.5,26.0,34.0,91-94 (10-11%),2.5,142.29184161737365,163.0,877.0,2.5,7.0
103-6041,168.0,208.0,Holy Cross Church: <1/month,2.0,0.0,54.616832,-5.970079,"Mercy Primary School, Belfast",3.0,5 or fewer,8-12 (4-5%),20.0,8.0,6.0,20 (9%),0.0,83.61591803435493,109.0,228.0,3.0,2.0
103-6042,168.0,263.0,"Parish Priest, St Vincent De Paul Parish: <1/month",2.0,1.0,54.626198,-5.98375,St Vincent de Paul Primary School,7.0,6,14-21 (5-7%),25.5,6.0,9.0,24-27 (8-9%),3.0,93.45602151621756,120.0,291.0,3.0,2.0
103-6048,168.0,141.0,Love for Life: <1/month<br>Parish Priest: <1/month,5.0,2.0,54.64153,-5.92493,"St Mary's Star of the Sea Primary School, Belfast",8.5,7,12-16 (7-10%),21.0,5.0,5.0,21 (12%),6.0,94.73977212840724,123.0,168.0,2.5,5.0
103-6075,104.0,529.0,"St Brigid's RC Parish, Belfast: <1/month",2.0,90.0,54.578167,-5.943836,"St Bride's Primary School, Belfast",89.0,20,217-238 (26-29%),277.0,39.0,128.0,277 (33%),27.0,224.96324439921148,218.0,833.0,21.0,2.0
103-6132,167.0,346.0,Holy Family Parish: <1/month,2.0,4.0,54.630367,-5.938957,"St Therese of Lisieux Primary School, Belfast",15.0,5 or fewer,35-43 (8-10%),63.0,20.0,20.0,63 (15%),5.0,103.93691004272944,129.0,414.0,8.0,2.0
103-6140,161.0,356.0,Good Shepherd Church – Holy Rosary Parish: <1/month<br>St Bernadette's Church – Holy Rosary Parish: <1/month,5.0,16.0,54.579297,-5.91224,"St Michael's Primary School, Belfast",39.0,Zero,47-55 (11-13%),57.5,2.5,8.0,56-59 (13-14%),2.5,122.11586906355132,147.0,416.0,8.0,5.0
103-6246,157.0,286.0,"St Colmcille's, Upper Newtownards Road, Belfast: <1/month",2.0,24.0,54.594685,-5.870834,"St Joseph's Primary School, Holland Dr",40.0,5 or fewer,65 (17%),88.0,23.0,25.0,88 (23%),7.0,133.8973852734835,157.0,381.0,0.0,2.0
103-6388,161.0,46.0,No External Visitors,0.0,17.0,54.599591,-5.938794,"St Mary's Primary School, Belfast",2.5,Zero,45-48 (34-36%),61.0,14.5,44.0,61 (46%),25.0,126.0,149.0,132.0,0.0,0.0
103-6466,102.0,156.0,The Parish Priest of St. Malachy's Ps: 1-3/month,11.0,94.0,54.593294,-5.923624,"St Malachy's Primary School, Belfast",6.0,8,210-220 (56-58%),219.5,3.6666666666666665,205.0,218-221 (57.7-58.5%),3.6666666666666665,209.7598397863105,220.0,378.0,3.6666666666666665,11.0
103-6505,143.0,234.0,"St Matthew's Church, Belfast: 1-3/month",11.0,42.0,54.599014,-5.906743,"St Matthew's Primary School, Belfast",6.5,Zero,66-70 (20-21%),90.0,20.0,61.0,90 (27%),8.0,151.43146215046576,176.0,332.0,2.5,11.0
103-6565,149.0,416.0,"St John The Evangelist RC Church, Belfast: <1/month",2.0,35.0,54.588061,-5.97004,St Kevin's Primary School,13.0,55,101-108 (18-19%),135.5,29.0,88.0,134-137 (24-25%),2.5,149.37615618986342,169.0,554.0,5.5,2.0
103-6566,151.0,365.0,"Holy Family, Belfast: twice",2.0,33.0,54.615547,-5.935015,"Holy Family Primary School, Belfast",41.0,26,83-87 (17-18%),110.5,25.0,42.0,109-112 (22.8-23.4%),2.5,146.3443165779919,167.0,478.0,2.5,2.0
